Crop,Month,Previous_Price,Current_Price,Next_Week_Price
Tomato,1,39.32,35.49,33.37
Rice,1,70.41,59.86,54.29
BitterGourd,2,66.34,74.47,80.89
Cauliflower,11,84.06,97.8,107.98
Tomato,6,32.88,31.97,31.52
BitterGourd,8,51.09,54.46,56.85
GreenChilli,3,144.03,145.53,146.35
Cucumber,9,33.15,30.62,29.69
BitterGourd,10,45.37,44.89,44.66
Potato,12,30.57,32.0,32.76
Cabbage,10,15.8,14.99,14.42
Cucumber,1,24.57,26.07,26.75
Cauliflower,10,38.67,34.31,31.85
BitterGourd,6,79.5,72.15,67.23
Pumpkin,9,18.11,18.0,17.96
Potato,4,18.14,15.77,15.01
BitterGourd,6,37.22,42.78,46.44
Potato,12,12.43,13.49,13.85
Beans,7,64.49,58.32,53.93
Garlic,3,187.0,190.09,192.0
BitterGourd,10,75.6,90.21,99.56
Okra,8,28.4,27.0,25.98
Okra,5,64.81,60.26,58.61
GreenChilli,7,93.6,85.28,80.73
Garlic,4,140.94,123.13,115.11
Cauliflower,2,23.58,23.04,22.64
Tomato,1,24.4,28.83,30.99
BitterGourd,9,85.61,80.9,78.46
Beans,12,31.91,36.27,38.27
Pumpkin,12,33.59,40.01,44.96
Beans,6,47.12,43.7,42.42
Pumpkin,8,29.2,29.19,29.18
Garlic,3,132.81,141.59,147.1
GreenChilli,7,91.29,80.7,73.49
Beans,9,34.39,34.6,34.71
Cauliflower,5,27.66,28.65,29.18
BitterGourd,4,50.14,53.57,55.76
Tomato,10,92.83,85.4,82.1
Garlic,2,124.17,134.6,138.44
Garlic,10,245.67,220.14,202.19
Tomato,10,40.78,34.94,30.83
GreenChilli,9,94.41,92.1,90.88
Okra,8,49.41,57.33,60.54
Potato,8,9.4,10.51,10.99
Pumpkin,12,30.79,34.08,36.31
BitterGourd,6,53.64,58.71,62.05
Brinjal,1,43.34,40.56,38.35
Onion,3,38.84,38.07,37.51
Cucumber,10,33.47,39.18,42.24
Pumpkin,7,28.03,28.58,28.92
Cabbage,11,36.41,39.25,41.06
BitterGourd,8,58.47,54.64,52.66
Beans,1,62.93,61.7,60.92
Okra,12,30.95,30.38,30.18
Carrot,6,25.37,23.04,21.93
Cucumber,10,17.13,18.58,19.04
Okra,9,44.65,43.09,41.84
Carrot,6,43.94,46.02,47.18
Carrot,3,45.12,50.42,53.73
Cauliflower,11,89.63,86.5,84.07
Tomato,12,46.64,52.51,55.17
GreenChilli,3,47.28,55.85,60.97
Cucumber,8,29.7,25.39,23.07
Cabbage,8,28.4,30.84,31.6
Onion,12,56.04,56.41,56.65
Potato,8,23.94,26.97,28.16
Cauliflower,7,40.1,45.17,48.88
Onion,6,10.16,10.73,10.96
Tomato,3,16.78,18.66,19.56
Cucumber,3,33.22,34.6,35.57
Cucumber,5,13.53,14.4,15.02
Carrot,5,62.7,55.13,50.62
Potato,11,38.03,41.88,43.7
Okra,1,29.15,33.5,36.39
Pumpkin,7,14.99,15.68,15.98
Ginger,10,183.66,189.69,194.23
Cabbage,7,26.08,29.02,31.09
Brinjal,12,75.64,88.45,97.03
Cauliflower,12,83.9,85.59,86.38
BitterGourd,8,29.88,26.37,23.99
Tomato,6,28.79,27.03,26.23
Cauliflower,5,69.59,67.02,66.18
Cabbage,2,35.16,33.72,32.75
Okra,3,40.31,43.42,44.48
Pumpkin,9,17.05,15.19,14.54
Carrot,11,56.01,63.61,69.06
Brinjal,3,22.47,20.71,20.16
Ginger,9,57.37,62.96,66.08
Garlic,6,87.02,95.98,101.37
Okra,6,24.47,28.75,31.88
GreenChilli,12,141.9,154.11,157.96
Cabbage,6,25.13,28.96,30.73
Rice,6,47.26,41.13,37.07
Cauliflower,12,34.07,40.07,42.48
Potato,6,12.63,14.63,15.73
Potato,4,28.53,27.43,26.59
Cauliflower,3,48.57,49.28,49.6
Beans,7,65.46,61.72,60.04
Potato,9,31.5,26.92,24.66
Ginger,5,145.14,162.68,175.43
Rice,5,46.82,50.65,52.71
Cabbage,2,45.31,49.04,51.2
Potato,2,20.01,21.51,22.62
Rice,7,50.18,53.74,55.36
Cabbage,8,13.3,15.23,16.37
Okra,7,30.83,31.69,32.26
BitterGourd,12,73.5,73.12,72.92
Cabbage,5,28.15,31.34,32.9
Cucumber,1,15.09,17.97,19.72
Cauliflower,12,36.44,43.08,47.64
Onion,5,39.63,37.09,35.1
BitterGourd,9,94.97,101.42,106.17
Onion,5,43.03,45.23,46.4
Potato,5,36.69,40.17,41.74
Beans,8,35.04,31.25,28.71
Rice,4,56.48,67.07,71.74
BitterGourd,1,70.29,78.57,84.23
Onion,3,41.09,44.63,46.08
Potato,3,13.91,14.99,15.45
Pumpkin,5,21.27,20.95,20.72
Cabbage,3,48.24,52.18,55.12
Cucumber,10,15.42,18.38,19.86
Pumpkin,3,24.75,28.43,31.09
Garlic,1,199.12,178.43,172.17
BitterGourd,4,99.95,116.39,128.6
Garlic,1,88.85,86.91,86.2
Rice,4,46.82,43.13,40.33
GreenChilli,1,125.52,107.22,100.02
Carrot,12,63.32,57.56,53.0
Cucumber,2,32.39,28.28,25.8
Cucumber,1,30.3,26.58,24.94
Beans,8,55.54,48.97,44.33
Pumpkin,5,49.96,51.75,52.33
Potato,9,9.19,9.83,10.28
Potato,5,28.65,33.63,36.01
GreenChilli,2,48.72,50.5,51.1
Carrot,6,52.7,62.87,69.36
Tomato,11,110.93,129.64,140.28
Garlic,12,137.93,118.67,104.76
Cauliflower,7,47.39,53.74,56.58
Carrot,1,39.3,43.71,45.38
Brinjal,12,49.11,50.25,50.91
Rice,10,52.59,54.7,56.05
Carrot,5,64.19,74.29,78.83
Carrot,2,28.14,24.82,22.36
Garlic,5,145.15,156.66,165.3
BitterGourd,3,98.83,102.56,104.64
Tomato,2,31.52,32.2,32.69
Ginger,3,64.46,58.9,56.42
Cabbage,11,46.11,48.95,50.13
Cauliflower,8,16.8,14.29,12.77
Okra,6,28.7,28.18,27.89
Carrot,6,30.83,31.68,32.14
Tomato,10,84.78,89.68,92.07
Cabbage,6,24.01,28.11,30.07
Pumpkin,3,44.49,46.38,47.26
Garlic,9,106.87,120.52,129.69
Tomato,2,48.89,58.06,61.44
Cabbage,6,32.3,32.48,32.57
Beans,2,64.78,74.94,80.99
Onion,9,58.1,52.18,47.87
Ginger,4,95.93,90.82,87.38
BitterGourd,7,47.54,47.83,47.97
GreenChilli,4,85.37,85.34,85.33
Rice,11,90.22,81.35,76.41
BitterGourd,1,85.99,84.85,84.46
Ginger,7,145.73,132.27,123.63
Onion,2,35.87,37.55,38.38
Pumpkin,10,31.46,31.4,31.38
Potato,2,25.25,22.7,21.05
Cabbage,7,19.4,18.33,17.55
GreenChilli,3,44.07,42.35,41.21
Pumpkin,4,44.37,52.9,57.11
BitterGourd,9,83.93,85.7,86.47
Cauliflower,7,41.91,41.01,40.6
Rice,3,39.1,36.27,34.48
Onion,7,32.02,29.32,28.36
Onion,8,17.57,18.21,18.69
Cauliflower,12,50.44,51.56,52.18
Cucumber,9,27.53,31.4,33.51
Beans,6,40.91,42.24,43.0
GreenChilli,8,103.38,97.84,95.46
BitterGourd,11,58.43,53.5,51.6
Tomato,3,71.29,78.28,83.03
Ginger,12,177.77,201.76,219.92
Ginger,9,160.68,182.82,198.35
Okra,3,55.79,65.32,71.85
GreenChilli,2,35.56,31.7,29.55
Ginger,1,63.39,54.88,52.21
Cabbage,9,43.25,46.84,49.59
Potato,3,27.07,25.26,24.67
Rice,12,77.25,90.35,95.52
Tomato,6,43.03,38.87,35.69
Garlic,11,135.5,131.95,130.85
Brinjal,11,25.48,24.63,24.23
Tomato,5,62.42,53.28,50.01
BitterGourd,6,53.34,61.9,65.57
Garlic,12,140.77,149.37,155.0
Pumpkin,4,28.49,30.05,30.53
Garlic,8,120.22,138.96,145.06
Onion,4,37.96,39.21,40.14
Potato,11,24.9,24.37,24.03
Pumpkin,6,25.64,22.45,20.83
Brinjal,6,15.8,18.88,20.13
BitterGourd,2,58.73,57.51,57.01
Rice,7,38.09,34.2,31.39
Cucumber,6,19.71,18.0,17.43
Carrot,3,62.96,56.43,53.06
Brinjal,9,42.77,44.02,44.54
Cauliflower,10,88.79,79.67,76.64
Cabbage,3,13.65,12.21,11.33
Beans,5,38.94,42.86,44.95
Onion,11,25.67,28.98,30.25
Okra,5,45.39,41.88,40.44
Carrot,3,25.9,25.59,25.49
Cabbage,8,36.42,34.51,33.23
Brinjal,11,48.54,54.23,58.5
Cucumber,6,29.69,33.81,36.96
BitterGourd,10,119.56,108.43,99.53
Cauliflower,8,32.62,28.22,26.75
Carrot,5,31.63,30.18,29.46
Brinjal,3,15.27,13.72,12.74
Beans,6,51.41,53.72,55.4
Brinjal,11,32.87,30.52,29.07
GreenChilli,11,142.15,156.29,164.24
Cabbage,2,13.05,11.79,11.23
Brinjal,12,43.23,48.88,51.48
Onion,9,38.13,44.38,47.41
Potato,7,6.99,6.63,6.38
Beans,3,90.57,106.24,116.8
Brinjal,10,59.14,53.71,51.66
BitterGourd,7,80.9,92.1,96.02
Pumpkin,4,43.87,39.45,36.83
Onion,7,9.67,8.53,7.93
GreenChilli,2,75.69,89.61,97.21
Ginger,12,243.55,222.16,205.98
BitterGourd,6,69.36,69.06,68.84
Onion,7,9.01,8.49,8.22
Cauliflower,7,23.33,20.05,18.41
Pumpkin,11,17.9,15.85,14.23
Brinjal,12,17.82,17.77,17.74
GreenChilli,5,35.92,39.45,42.18
Potato,11,23.14,22.39,22.08
Okra,12,58.46,64.96,68.34
Ginger,3,79.07,94.07,105.17
Cabbage,10,58.11,50.23,46.92
Garlic,4,125.74,126.23,126.5
Pumpkin,7,27.6,32.38,34.03
Carrot,5,43.23,43.0,42.92
Okra,3,46.21,50.39,52.33
GreenChilli,1,135.98,157.7,164.8
Tomato,5,35.41,33.68,32.38
GreenChilli,1,75.51,67.68,65.07
Cucumber,5,19.8,18.34,17.35
GreenChilli,12,64.18,72.66,78.88
Cabbage,9,20.34,22.45,23.82
Okra,10,83.69,92.62,98.96
Potato,8,30.94,26.67,24.6
Onion,1,17.38,20.53,22.94
Potato,12,40.53,37.52,35.52
Ginger,1,81.47,95.13,101.9
GreenChilli,1,76.95,68.07,62.55
Tomato,7,26.59,25.81,25.51
Garlic,12,294.2,285.7,280.61
GreenChilli,2,51.23,53.55,55.18
Cauliflower,8,22.46,21.7,21.24
Ginger,10,244.14,235.83,229.49
Cabbage,12,55.53,48.92,43.88
Potato,6,10.89,11.61,12.09
Beans,7,61.77,55.88,53.61
Pumpkin,8,16.97,16.59,16.38
Potato,5,10.21,12.21,13.39
Carrot,6,48.84,57.39,63.26
Rice,4,71.29,82.53,87.46
Onion,3,43.09,36.76,34.07
Beans,12,51.36,57.25,60.57
Cabbage,7,28.98,28.1,27.65
Pumpkin,8,33.77,39.75,44.23
Pumpkin,11,52.76,46.78,42.45
Okra,9,37.47,44.26,47.0
Carrot,6,37.02,37.93,38.6
Garlic,9,205.45,239.11,256.9
Cucumber,7,18.91,20.04,20.48
Potato,1,35.78,39.07,40.47
Pumpkin,3,49.14,46.17,45.05
GreenChilli,8,105.8,124.96,131.76
Cabbage,8,29.39,30.04,30.35
Onion,4,30.19,26.92,24.46
Beans,3,32.19,33.28,33.67
Cauliflower,12,58.56,62.78,64.25
Rice,2,83.89,74.87,71.85
Ginger,3,98.94,107.35,112.92
Potato,7,19.64,19.41,19.3
Onion,8,33.19,33.3,33.37
Ginger,1,96.5,84.01,76.72
BitterGourd,2,31.14,31.45,31.64
Brinjal,1,27.58,31.91,33.78
Cabbage,10,49.39,47.62,46.75
Pumpkin,9,36.71,39.35,40.24
BitterGourd,7,77.03,76.37,76.08
Carrot,8,29.4,26.06,23.73
Ginger,9,55.03,53.97,53.59
Cabbage,9,23.09,19.93,18.75
Onion,7,37.76,42.59,45.53
Tomato,7,22.49,22.85,23.02
Okra,8,61.5,64.66,65.65
GreenChilli,11,117.62,123.18,125.45
Beans,2,67.56,79.97,84.74
Cabbage,5,12.56,14.1,15.12
Cabbage,9,12.48,14.83,16.68
Okra,5,23.67,22.2,21.3
Rice,12,85.51,102.29,115.63
Cauliflower,10,35.24,38.77,40.34
Rice,9,80.23,74.23,70.0
Cucumber,2,15.77,15.71,15.68
GreenChilli,1,37.97,34.46,33.12
Pumpkin,8,25.53,26.09,26.41
Potato,5,20.24,19.02,18.65
Pumpkin,1,47.22,53.4,55.77
Rice,10,60.38,55.6,53.81
Beans,11,61.1,60.18,59.46
Beans,4,45.0,53.49,57.47
Beans,3,93.73,86.46,81.63
Potato,11,22.77,21.56,20.62
Cucumber,12,29.86,28.23,27.09
GreenChilli,11,157.52,180.33,195.63
Rice,11,66.41,65.24,64.35
Brinjal,6,39.25,37.09,35.73
Tomato,2,42.71,49.21,51.43
Potato,7,21.02,18.75,17.01
Carrot,6,28.96,31.75,32.84
BitterGourd,4,41.11,46.88,48.89
Cabbage,2,40.35,38.28,37.38
Carrot,5,57.67,66.99,70.89
Cabbage,6,32.0,29.21,28.14
Okra,6,23.84,20.92,19.13
BitterGourd,7,51.1,48.47,46.48
Cauliflower,1,20.81,22.9,23.55
GreenChilli,2,79.01,94.51,99.72
Onion,3,47.34,53.67,58.56
Ginger,8,132.52,132.82,132.94
GreenChilli,8,30.7,28.62,27.07
Beans,10,64.25,69.88,73.75
Okra,5,51.47,53.53,54.55
GreenChilli,9,143.87,139.34,137.03
Garlic,2,167.73,198.09,218.44
Brinjal,9,42.0,48.47,52.76
Rice,12,55.66,60.43,63.19
Garlic,9,127.61,132.15,134.06
Potato,12,23.69,26.92,29.45
Rice,10,83.13,79.34,78.19
Cucumber,3,15.43,16.36,16.89
Okra,7,41.17,46.42,48.55
Cucumber,6,18.81,16.16,15.34
Brinjal,3,56.31,67.54,71.24
Onion,12,59.58,52.95,48.71
Beans,6,60.4,65.21,68.76
Cabbage,10,27.55,25.34,24.35
BitterGourd,1,45.11,41.01,37.88
Rice,11,53.22,52.87,52.72
Carrot,1,69.57,77.48,80.01
Onion,9,39.19,44.68,47.15
Onion,4,19.51,21.04,22.21
Cauliflower,5,33.81,31.64,30.05
Brinjal,11,74.99,76.87,77.69
Onion,3,44.32,46.89,48.81
BitterGourd,6,23.03,27.11,29.39
Cucumber,1,37.61,33.61,31.88
Pumpkin,3,48.55,55.91,61.17
Beans,3,59.93,67.79,74.04
Carrot,3,26.39,30.19,32.98
Cauliflower,10,54.45,47.57,43.9
GreenChilli,7,96.22,106.09,109.05
Ginger,1,182.06,193.6,200.7
Onion,9,56.16,54.81,54.34
Rice,12,61.45,53.69,49.21
Garlic,11,158.46,135.49,118.03
Potato,2,14.31,14.46,14.55
Okra,12,84.34,72.92,65.51
Onion,6,30.65,33.69,36.12
GreenChilli,3,86.69,89.21,91.19
Carrot,1,53.42,51.9,51.1
Potato,4,14.75,13.37,12.86
Cucumber,3,34.38,35.6,36.22
BitterGourd,2,50.67,46.3,43.19
GreenChilli,3,106.32,123.25,136.28
Rice,9,74.79,68.69,64.42
Pumpkin,4,36.21,40.8,42.82
Cabbage,10,17.46,18.74,19.73
Tomato,2,54.37,61.62,64.92
Ginger,6,80.87,79.96,79.32
Rice,4,89.21,95.66,98.7
Cauliflower,1,59.33,53.97,52.13
Carrot,10,55.59,55.13,54.83
Brinjal,12,73.23,71.19,69.97
Tomato,7,20.45,17.85,16.2
Garlic,8,109.75,122.3,132.01
Cucumber,7,11.57,13.13,14.33
Pumpkin,6,14.01,13.11,12.54
Carrot,3,42.08,36.06,31.32
Cabbage,1,41.05,36.16,34.11
Cucumber,6,8.97,8.46,8.1
Brinjal,7,45.84,51.98,54.77
Rice,12,47.34,54.82,59.69
Pumpkin,6,43.17,41.71,40.59
Cabbage,1,22.37,20.05,19.28
Onion,4,39.6,41.6,42.43
Cabbage,3,15.53,16.15,16.57
Beans,3,77.05,75.91,75.05
Beans,1,92.03,96.84,99.06
Cauliflower,12,38.83,34.33,32.74
Brinjal,4,51.6,53.99,55.87
Cabbage,3,47.47,54.46,57.57
BitterGourd,2,62.02,72.64,76.82
Carrot,2,42.59,37.66,34.76
Okra,5,76.13,90.04,97.3
GreenChilli,8,102.12,119.46,127.73
Cabbage,12,31.05,28.98,28.02
Tomato,5,37.33,40.05,40.95
Okra,5,79.22,77.87,76.83
Onion,9,10.49,9.79,9.56
Ginger,12,204.1,239.73,258.67
Cabbage,9,46.13,52.57,56.1
Brinjal,4,49.69,51.09,52.13
GreenChilli,8,53.61,59.16,63.51
GreenChilli,2,141.75,126.1,114.92
Cauliflower,5,20.71,23.43,25.08
Beans,3,34.85,31.66,30.23
Cabbage,3,34.16,37.58,39.24
Cabbage,9,31.84,34.72,36.55
GreenChilli,8,83.92,88.16,90.25
Cabbage,6,42.18,37.0,33.37
Ginger,7,53.61,45.89,42.77
Onion,9,19.33,22.81,24.86
Cucumber,4,37.92,43.78,45.92
Cabbage,11,44.03,51.59,57.57
Rice,9,32.14,28.97,27.75
Onion,11,19.0,17.38,16.31
Rice,11,80.7,85.95,89.5
Ginger,8,81.23,76.9,73.92
Cucumber,9,21.09,22.55,23.49
Okra,7,39.71,35.58,33.2
Cauliflower,5,31.82,30.34,29.53
Rice,5,58.45,54.28,52.11
Cucumber,4,31.58,29.07,27.09
BitterGourd,1,66.05,57.49,54.75
Pumpkin,10,33.78,40.11,42.57
Cauliflower,1,50.56,50.01,49.64
Garlic,9,170.73,185.76,197.42
Okra,7,32.62,35.85,37.41
Okra,7,26.83,31.15,32.86
Garlic,4,212.35,238.53,250.94
Cauliflower,4,24.71,23.75,23.23
Brinjal,4,24.71,25.56,25.92
BitterGourd,3,43.51,43.3,43.21
Potato,10,52.58,56.06,58.57
Ginger,7,118.83,131.69,139.7
Cabbage,9,41.89,37.77,34.92
Onion,1,12.35,13.35,14.12
Beans,2,72.81,69.41,67.23
GreenChilli,11,138.13,144.56,148.7
GreenChilli,7,85.46,79.18,75.59
Brinjal,6,17.53,16.63,16.21
Garlic,3,228.46,202.7,190.57
GreenChilli,3,49.86,57.53,60.01
Carrot,5,56.3,49.56,45.2
Potato,8,16.52,18.61,19.71
Potato,9,12.26,12.88,13.23
Tomato,12,33.45,29.76,28.0
Carrot,11,40.79,47.65,51.26
Brinjal,11,33.32,37.73,39.12
GreenChilli,12,78.44,92.48,100.42
Ginger,3,160.94,175.47,179.96
Cucumber,6,10.36,11.01,11.31
GreenChilli,1,69.48,67.5,66.21
Cucumber,2,27.42,26.17,25.41
Brinjal,5,47.82,51.29,53.38
Potato,2,38.44,37.04,36.06
Brinjal,11,32.52,30.73,29.44
Cauliflower,5,20.06,22.69,23.56
Cabbage,7,27.0,28.58,29.16
Rice,3,78.79,88.47,93.46
BitterGourd,11,73.62,75.52,77.04
Cabbage,5,31.78,30.33,29.24
BitterGourd,3,84.38,97.94,108.21
Cabbage,6,21.18,18.88,17.09
Garlic,8,164.35,151.53,147.47
GreenChilli,6,103.94,117.77,126.68
GreenChilli,5,38.26,37.43,37.07
Garlic,5,105.8,122.76,133.4
Cucumber,9,33.46,36.57,37.81
Onion,9,46.66,52.47,54.86
GreenChilli,8,77.9,73.83,72.48
Garlic,9,213.24,238.05,248.34
Carrot,1,38.24,39.22,39.81
GreenChilli,6,34.87,32.29,31.3
Beans,5,54.04,47.09,41.91
Potato,7,13.55,14.58,15.13
Brinjal,5,26.54,26.37,26.24
Rice,4,41.59,47.54,51.76
Cabbage,4,27.23,27.61,27.84
Potato,11,14.53,13.27,12.75
Tomato,5,29.18,28.03,27.37
Tomato,10,48.82,57.78,62.03
Rice,4,53.24,57.3,59.46
BitterGourd,6,58.68,59.26,59.44
Brinjal,3,21.37,21.41,21.43
Cucumber,8,26.23,29.74,31.16
Pumpkin,4,37.25,41.68,43.5
Pumpkin,9,18.44,21.63,23.13
Rice,7,30.58,26.35,24.84
Pumpkin,3,25.67,30.02,33.48
Okra,3,58.26,54.66,53.44
Garlic,11,125.85,147.43,157.74
Okra,1,59.76,54.03,51.51
Beans,11,122.54,105.41,95.83
Potato,4,19.0,17.62,16.7
Potato,2,32.47,31.28,30.4
Cabbage,4,30.48,33.51,35.14
Tomato,9,75.03,69.87,66.52
Okra,8,18.5,20.79,21.85
GreenChilli,8,26.54,29.79,31.42
Potato,2,38.79,45.38,47.79
BitterGourd,5,55.06,61.27,63.3
Beans,12,83.21,75.43,71.69
Cabbage,2,44.97,39.84,36.38
Cucumber,1,24.45,26.06,27.04
Carrot,3,44.19,49.13,51.13
Onion,12,57.74,67.68,72.08
GreenChilli,1,36.69,41.83,43.93
Brinjal,3,39.3,45.92,50.29
Potato,10,37.02,37.04,37.06
GreenChilli,6,38.54,43.97,47.06
Garlic,9,201.72,213.26,222.04
Okra,2,33.48,33.19,33.05
Cauliflower,1,39.15,46.97,52.6
Tomato,10,43.55,46.2,47.4
Potato,6,15.56,16.78,17.6
Cucumber,5,38.12,44.76,47.58
Tomato,6,16.09,18.76,19.92
Potato,4,25.78,21.97,19.66
Okra,4,35.68,37.04,37.77
Carrot,9,58.96,53.73,51.39
Potato,9,35.87,31.85,29.64
BitterGourd,11,57.92,60.44,62.01
Ginger,8,151.15,140.69,135.94
Garlic,12,261.58,298.07,316.74
Cauliflower,5,52.35,45.63,42.93
Cucumber,4,29.94,26.04,24.1
GreenChilli,12,151.28,177.6,194.34
Potato,8,18.2,17.2,16.44
Cabbage,4,28.17,28.86,29.39
Ginger,5,75.12,71.49,69.85
Okra,2,48.27,45.58,44.03
Ginger,5,118.77,110.51,104.24
Okra,5,45.19,46.01,46.47
Rice,1,64.97,58.44,56.35
Rice,1,62.8,54.6,50.75
Rice,7,22.16,22.96,23.55
Cabbage,7,34.53,32.77,31.98
Rice,9,52.46,48.6,45.95
Rice,4,39.26,36.69,35.67
Beans,5,60.31,72.07,78.46
Okra,7,55.94,62.11,64.22
Onion,11,59.56,69.83,74.31
Cabbage,8,29.19,34.17,36.86
Cabbage,7,22.84,21.16,20.01
Onion,4,29.05,30.47,31.04
Ginger,4,58.26,50.67,46.62
Ginger,8,126.52,148.3,162.11
Ginger,4,145.88,149.02,150.33
BitterGourd,12,57.98,50.45,46.77
Carrot,10,23.81,22.41,21.35
Cucumber,2,16.76,19.6,21.86
Cabbage,2,39.44,36.14,34.04
GreenChilli,1,39.47,36.8,34.69
Rice,11,54.07,57.7,60.29
Cucumber,4,19.06,19.88,20.37
Rice,8,56.23,67.4,74.49
Beans,7,43.26,48.89,53.02
BitterGourd,2,90.94,101.22,107.1
Onion,9,17.13,16.02,15.48
Onion,11,46.18,41.12,37.26
Cauliflower,3,39.13,40.03,40.75
Cucumber,8,9.59,8.59,7.87
Cabbage,5,25.75,26.45,26.68
Cabbage,12,38.95,38.84,38.77
Garlic,3,92.73,85.41,79.82
BitterGourd,11,83.78,99.42,106.19
GreenChilli,6,35.31,35.61,35.71
Ginger,2,71.95,79.61,84.28
GreenChilli,7,105.28,122.46,128.28
Cauliflower,2,49.79,46.9,45.46
Garlic,1,228.72,203.5,184.42
Tomato,9,25.74,23.13,22.34
Cauliflower,11,69.14,62.58,59.19
Garlic,3,235.38,234.77,234.51
Ginger,8,65.57,57.6,55.03
Beans,1,75.27,70.65,68.31
GreenChilli,5,101.84,111.92,116.21
Garlic,8,163.62,145.5,133.82
Cabbage,6,18.43,20.22,21.22
Cucumber,5,13.69,14.57,14.88
Cabbage,8,35.94,38.54,40.05
Garlic,3,91.72,82.17,77.85
BitterGourd,3,45.61,45.03,44.62
GreenChilli,3,100.66,110.33,114.03
GreenChilli,10,187.96,176.18,172.43
Okra,5,38.62,41.94,44.18
Pumpkin,9,17.75,19.45,20.32
Carrot,12,32.87,36.32,37.73
GreenChilli,12,200.69,236.86,254.61
Pumpkin,2,15.6,16.67,17.32
BitterGourd,6,40.79,40.27,39.87
Carrot,11,71.8,61.7,54.64
Cauliflower,5,30.81,27.51,26.32
Rice,6,42.12,39.3,37.83
Okra,5,20.61,22.13,23.08
Brinjal,6,16.51,15.9,15.69
Carrot,4,58.16,61.65,63.07
Cucumber,12,16.03,19.04,20.36
Okra,6,62.45,55.7,53.45
Garlic,9,149.53,141.06,138.48
Rice,2,54.03,60.92,63.39
Brinjal,10,57.54,64.58,67.01
GreenChilli,12,160.56,176.99,189.2
Cucumber,6,21.16,19.01,18.25
Beans,7,41.22,41.39,41.46
Ginger,10,193.69,170.29,161.6
Okra,11,63.84,58.32,54.87
Potato,9,29.29,28.56,28.08
Tomato,3,28.74,24.55,22.47
Cauliflower,6,23.44,25.24,26.14
BitterGourd,9,52.49,51.4,50.92
Tomato,4,67.93,78.45,85.52
Rice,7,55.92,64.17,69.65
Garlic,12,273.01,301.72,321.2
Cauliflower,9,23.71,23.82,23.89
Onion,7,12.69,13.92,14.48
Carrot,9,30.91,30.68,30.5
Cauliflower,4,39.86,45.7,48.6
Carrot,4,28.41,24.17,21.63
Cauliflower,6,30.85,31.8,32.35
Pumpkin,8,20.05,18.36,17.81
Ginger,1,169.52,168.94,168.49
Carrot,4,24.54,22.59,21.48
Ginger,7,140.05,163.68,176.06
Tomato,7,21.88,23.6,24.68
Cabbage,5,20.88,22.72,23.87
Potato,8,10.28,8.96,8.01
Pumpkin,11,49.35,46.39,44.74
BitterGourd,6,51.49,58.75,62.26
Potato,5,21.81,23.65,25.1
Potato,7,12.94,13.15,13.26
